"temperature","humidity","pressure","uv (ddf)","NO2","NOx","PM2.5","PM10","PMabs","noise (lden)","green_dist_inv","NDVI100","NDVI300","NDVI500","blue_dist_inv","traffic_load","traffic_near","road_dist_inv","popdens","build_dens100","build_dens300","connect100","connect300","bus_stops300","bus_stops500","feat_ rich300","landuseshan300","walkability"
"temperature",1,-0.39,0.21,0.9,-0.16,-0.17,0.13,0.45,0.06,0.22,0.05,-0.42,-0.43,-0.41,-0.07,0.04,0.04,0.24,0.06,0.23,0.21,0,-0.06,0.03,0.01,0.03,0.12,0.08
"humidity",-0.39,1,-0.87,-0.23,0.09,0.04,0.26,0.08,0.24,-0.28,0.01,0.03,0.05,0.06,-0.19,-0.28,0.02,-0.16,-0.28,-0.28,-0.24,-0.18,-0.3,0.34,0.42,-0.01,0.13,-0.15
"pressure",0.21,-0.87,1,0.04,-0.16,-0.09,-0.11,-0.1,-0.18,0.23,0,0.07,0.05,0.03,0.18,0.25,0.01,0.06,0.21,0.19,0.16,0.12,0.23,-0.42,-0.51,0,-0.15,0.1
"uv (ddf)",0.9,-0.23,0.04,1,-0.17,-0.19,0.18,0.46,0.1,0.15,0.05,-0.38,-0.38,-0.37,-0.09,-0.01,0.06,0.18,0.01,0.15,0.14,-0.05,-0.13,0.05,0.04,0.03,0.12,0.04
"NO2",-0.16,0.09,-0.16,-0.17,1,0.9,0.17,0.08,0.39,0.18,-0.3,-0.38,-0.39,-0.39,-0.01,0.19,0.2,0.19,0.35,0.44,0.51,0.25,0.34,0.25,0.31,0.34,0.01,0.38
"NOx",-0.17,0.04,-0.09,-0.19,0.9,1,0.21,0.06,0.38,0.26,-0.27,-0.34,-0.32,-0.3,0.07,0.25,0.22,0.19,0.33,0.42,0.48,0.32,0.38,0.28,0.31,0.32,0.01,0.37
"PM2.5",0.13,0.26,-0.11,0.18,0.17,0.21,1,0.68,0.69,0.1,-0.04,-0.21,-0.23,-0.22,-0.01,-0.03,0.34,-0.04,-0.04,0.05,0.06,-0.17,-0.28,0.03,0.05,0.09,0.06,-0.03
"PM10",0.45,0.08,-0.1,0.46,0.08,0.06,0.68,1,0.54,0.17,-0.01,-0.39,-0.42,-0.42,-0.08,0.11,0.29,0.14,0,0.11,0.13,-0.16,-0.3,-0.03,-0.06,0.09,0.06,-0.03
"PMabs",0.06,0.24,-0.18,0.1,0.39,0.38,0.69,0.54,1,0.08,-0.06,-0.22,-0.25,-0.23,0.09,0.01,0.36,0,0.14,0.14,0.16,-0.21,-0.3,0.04,0.06,0.12,0.02,0
"noise (lden)",0.22,-0.28,0.23,0.15,0.18,0.26,0.1,0.17,0.08,1,-0.09,-0.28,-0.26,-0.23,0.06,0.53,0.18,0.22,0.16,0.24,0.26,0.27,0.25,0.05,0.03,0.2,0.11,0.3
"green_dist_inv",0.05,0.01,0,0.05,-0.3,-0.27,-0.04,-0.01,-0.06,-0.09,1,0.38,0.41,0.4,0.08,-0.13,0,-0.12,-0.32,-0.42,-0.48,-0.26,-0.35,-0.11,-0.14,-0.36,0.08,-0.34
"NDVI100",-0.42,0.03,0.07,-0.38,-0.38,-0.34,-0.21,-0.39,-0.22,-0.28,0.38,1,0.89,0.83,0.18,-0.15,-0.02,-0.35,-0.35,-0.69,-0.67,-0.35,-0.32,-0.31,-0.33,-0.52,-0.15,-0.53
"NDVI300",-0.43,0.05,0.05,-0.38,-0.39,-0.32,-0.23,-0.42,-0.25,-0.26,0.41,0.89,1,0.96,0.22,-0.14,-0.04,-0.33,-0.35,-0.63,-0.74,-0.29,-0.33,-0.3,-0.33,-0.56,-0.11,-0.53
"NDVI500",-0.41,0.06,0.03,-0.37,-0.39,-0.3,-0.22,-0.42,-0.23,-0.23,0.4,0.83,0.96,1,0.24,-0.13,-0.04,-0.33,-0.34,-0.59,-0.72,-0.26,-0.32,-0.25,-0.31,-0.53,-0.1,-0.5
"blue_dist_inv",-0.07,-0.19,0.18,-0.09,-0.01,0.07,-0.01,-0.08,0.09,0.06,0.08,0.18,0.22,0.24,1,0.07,0.02,0,0.1,-0.01,-0.06,-0.04,-0.01,-0.13,-0.17,0.04,-0.03,0.04
"traffic_load",0.04,-0.28,0.25,-0.01,0.19,0.25,-0.03,0.11,0.01,0.53,-0.13,-0.15,-0.14,-0.13,0.07,1,0.25,0.14,0.18,0.17,0.22,0.25,0.25,-0.05,-0.09,0.18,-0.03,0.23
"traffic_near",0.04,0.02,0.01,0.06,0.2,0.22,0.34,0.29,0.36,0.18,0,-0.02,-0.04,-0.04,0.02,0.25,1,-0.19,0,0,0.03,-0.13,-0.19,-0.04,-0.07,0.04,-0.02,-0.04
"road_dist_inv",0.24,-0.16,0.06,0.18,0.19,0.19,-0.04,0.14,0,0.22,-0.12,-0.35,-0.33,-0.33,0,0.14,-0.19,1,0.23,0.27,0.29,0.28,0.3,0.12,0.13,0.16,0.04,0.25
"popdens",0.06,-0.28,0.21,0.01,0.35,0.33,-0.04,0,0.14,0.16,-0.32,-0.35,-0.35,-0.34,0.1,0.18,0,0.23,1,0.53,0.54,0.22,0.3,0,0.02,0.35,-0.1,0.47
"build_dens100",0.23,-0.28,0.19,0.15,0.44,0.42,0.05,0.11,0.14,0.24,-0.42,-0.69,-0.63,-0.59,-0.01,0.17,0,0.27,0.53,1,0.86,0.35,0.43,0.15,0.17,0.56,0.02,0.57
"build_dens300",0.21,-0.24,0.16,0.14,0.51,0.48,0.06,0.13,0.16,0.26,-0.48,-0.67,-0.74,-0.72,-0.06,0.22,0.03,0.29,0.54,0.86,1,0.36,0.48,0.18,0.23,0.63,-0.03,0.6
"connect100",0,-0.18,0.12,-0.05,0.25,0.32,-0.17,-0.16,-0.21,0.27,-0.26,-0.35,-0.29,-0.26,-0.04,0.25,-0.13,0.28,0.22,0.35,0.36,1,0.72,0.2,0.2,0.28,0.08,0.51
"connect300",-0.06,-0.3,0.23,-0.13,0.34,0.38,-0.28,-0.3,-0.3,0.25,-0.35,-0.32,-0.33,-0.32,-0.01,0.25,-0.19,0.3,0.3,0.43,0.48,0.72,1,0.22,0.21,0.37,-0.01,0.64
"bus_stops300",0.03,0.34,-0.42,0.05,0.25,0.28,0.03,-0.03,0.04,0.05,-0.11,-0.31,-0.3,-0.25,-0.13,-0.05,-0.04,0.12,0,0.15,0.18,0.2,0.22,1,0.81,0.23,0.17,0.25
"bus_stops500",0.01,0.42,-0.51,0.04,0.31,0.31,0.05,-0.06,0.06,0.03,-0.14,-0.33,-0.33,-0.31,-0.17,-0.09,-0.07,0.13,0.02,0.17,0.23,0.2,0.21,0.81,1,0.21,0.19,0.24
"feat_ rich300",0.03,-0.01,0,0.03,0.34,0.32,0.09,0.09,0.12,0.2,-0.36,-0.52,-0.56,-0.53,0.04,0.18,0.04,0.16,0.35,0.56,0.63,0.28,0.37,0.23,0.21,1,0.08,0.75
"landuseshan300",0.12,0.13,-0.15,0.12,0.01,0.01,0.06,0.06,0.02,0.11,0.08,-0.15,-0.11,-0.1,-0.03,-0.03,-0.02,0.04,-0.1,0.02,-0.03,0.08,-0.01,0.17,0.19,0.08,1,0.48
"walkability",0.08,-0.15,0.1,0.04,0.38,0.37,-0.03,-0.03,0,0.3,-0.34,-0.53,-0.53,-0.5,0.04,0.23,-0.04,0.25,0.47,0.57,0.6,0.51,0.64,0.25,0.24,0.75,0.48,1
